"bound","drift","ter","sub","condition","difflevel","manip"
0.0853684202701332,0.168777670561207,0.582151482291796,"100","minus","easy","alpha"
0.0853684202701332,0.0447832758068112,0.582151482291796,"100","minus","hard","alpha"
0.0853684202701332,0.120172207322918,0.582151482291796,"100","minus","medium","alpha"
0.0853684202701332,0.168777670561207,0.582151482291796,"100","plus","easy","alpha"
0.0853684202701332,0.0447832758068112,0.582151482291796,"100","plus","hard","alpha"
0.0853684202701332,0.120172207322918,0.582151482291796,"100","plus","medium","alpha"
0.0729855975085697,0.172030290943066,0.374580890330205,"101","minus","easy","alpha"
0.0729855975085697,0.0729272537269987,0.374580890330205,"101","minus","hard","alpha"
0.0729855975085697,0.126333936543238,0.374580890330205,"101","minus","medium","alpha"
0.0729855975085697,0.172030290943066,0.374580890330205,"101","plus","easy","alpha"
0.0729855975085697,0.0729272537269987,0.374580890330205,"101","plus","hard","alpha"
0.0729855975085697,0.126333936543238,0.374580890330205,"101","plus","medium","alpha"
0.0756281688203643,0.137199138711128,0.493600131101358,"102","minus","easy","alpha"
0.0756281688203643,0.051580654495395,0.493600131101358,"102","minus","hard","alpha"
0.0756281688203643,0.104855439929918,0.493600131101358,"102","minus","medium","alpha"
0.0756281688203643,0.137199138711128,0.493600131101358,"102","plus","easy","alpha"
0.0756281688203643,0.051580654495395,0.493600131101358,"102","plus","hard","alpha"
0.0756281688203643,0.104855439929918,0.493600131101358,"102","plus","medium","alpha"
0.0760547613772059,0.204569146341687,0.464681391888497,"103","minus","easy","alpha"
0.0760547613772059,0.0878366978402376,0.464681391888497,"103","minus","hard","alpha"
0.0760547613772059,0.141489232747145,0.464681391888497,"103","minus","medium","alpha"
0.0760547613772059,0.204569146341687,0.464681391888497,"103","plus","easy","alpha"
0.0760547613772059,0.0878366978402376,0.464681391888497,"103","plus","hard","alpha"
0.0760547613772059,0.141489232747145,0.464681391888497,"103","plus","medium","alpha"
0.0578520700950877,0.149888182489794,0.427725764070437,"104","minus","easy","alpha"
0.0578520700950877,0.063644079662763,0.427725764070437,"104","minus","hard","alpha"
0.0578520700950877,0.136177343315592,0.427725764070437,"104","minus","medium","alpha"
0.0578520700950877,0.149888182489794,0.427725764070437,"104","plus","easy","alpha"
0.0578520700950877,0.063644079662763,0.427725764070437,"104","plus","hard","alpha"
0.0578520700950877,0.136177343315592,0.427725764070437,"104","plus","medium","alpha"
0.0845773544497561,0.139489117565683,0.514151854673906,"105","minus","easy","alpha"
0.0845773544497561,0.0498655588118164,0.514151854673906,"105","minus","hard","alpha"
0.0845773544497561,0.0979697025891218,0.514151854673906,"105","minus","medium","alpha"
0.0845773544497561,0.139489117565683,0.514151854673906,"105","plus","easy","alpha"
0.0845773544497561,0.0498655588118164,0.514151854673906,"105","plus","hard","alpha"
0.0845773544497561,0.0979697025891218,0.514151854673906,"105","plus","medium","alpha"
0.108524089667354,0.138708252557184,0.428190836411879,"106","minus","easy","alpha"
0.108524089667354,0.0561144019083175,0.428190836411879,"106","minus","hard","alpha"
0.108524089667354,0.103871977517132,0.428190836411879,"106","minus","medium","alpha"
0.108524089667354,0.138708252557184,0.428190836411879,"106","plus","easy","alpha"
0.108524089667354,0.0561144019083175,0.428190836411879,"106","plus","hard","alpha"
0.108524089667354,0.103871977517132,0.428190836411879,"106","plus","medium","alpha"
0.0740391179386189,0.100035438017202,0.43238334317546,"107","minus","easy","alpha"
0.0740391179386189,0.0298392275738418,0.43238334317546,"107","minus","hard","alpha"
0.0740391179386189,0.043032214064213,0.43238334317546,"107","minus","medium","alpha"
0.0740391179386189,0.100035438017202,0.43238334317546,"107","plus","easy","alpha"
0.0740391179386189,0.0298392275738418,0.43238334317546,"107","plus","hard","alpha"
0.0740391179386189,0.043032214064213,0.43238334317546,"107","plus","medium","alpha"
0.0684725693923008,0.0961773954394394,0.451313907131977,"108","minus","easy","alpha"
0.0684725693923008,0.0596829513612153,0.451313907131977,"108","minus","hard","alpha"
0.0684725693923008,0.0629893428235774,0.451313907131977,"108","minus","medium","alpha"
0.0684725693923008,0.0961773954394394,0.451313907131977,"108","plus","easy","alpha"
0.0684725693923008,0.0596829513612153,0.451313907131977,"108","plus","hard","alpha"
0.0684725693923008,0.0629893428235774,0.451313907131977,"108","plus","medium","alpha"
0.0646620991517064,0.153821791382414,0.429951682109649,"109","minus","easy","alpha"
0.0646620991517064,0.0692553839823373,0.429951682109649,"109","minus","hard","alpha"
0.0646620991517064,0.107737153969621,0.429951682109649,"109","minus","medium","alpha"
0.0646620991517064,0.153821791382414,0.429951682109649,"109","plus","easy","alpha"
0.0646620991517064,0.0692553839823373,0.429951682109649,"109","plus","hard","alpha"
0.0646620991517064,0.107737153969621,0.429951682109649,"109","plus","medium","alpha"
0.106133576177661,0.192582207384859,0.451410663554325,"110","minus","easy","alpha"
0.106133576177661,0.0823331940254305,0.451410663554325,"110","minus","hard","alpha"
0.106133576177661,0.12514096928345,0.451410663554325,"110","minus","medium","alpha"
0.106133576177661,0.192582207384859,0.451410663554325,"110","plus","easy","alpha"
0.106133576177661,0.0823331940254305,0.451410663554325,"110","plus","hard","alpha"
0.106133576177661,0.12514096928345,0.451410663554325,"110","plus","medium","alpha"
0.0755819518225742,0.206391003224193,0.438435092517504,"111","minus","easy","alpha"
0.0755819518225742,0.0861252263817966,0.438435092517504,"111","minus","hard","alpha"
0.0755819518225742,0.141306269459329,0.438435092517504,"111","minus","medium","alpha"
0.0755819518225742,0.206391003224193,0.438435092517504,"111","plus","easy","alpha"
0.0755819518225742,0.0861252263817966,0.438435092517504,"111","plus","hard","alpha"
0.0755819518225742,0.141306269459329,0.438435092517504,"111","plus","medium","alpha"
0.0514668956271513,0.103708095625623,0.239034957676541,"112","minus","easy","alpha"
0.0514668956271513,0.0374693551390107,0.239034957676541,"112","minus","hard","alpha"
0.0514668956271513,0.100529748944117,0.239034957676541,"112","minus","medium","alpha"
0.0514668956271513,0.103708095625623,0.239034957676541,"112","plus","easy","alpha"
0.0514668956271513,0.0374693551390107,0.239034957676541,"112","plus","hard","alpha"
0.0514668956271513,0.100529748944117,0.239034957676541,"112","plus","medium","alpha"
0.10735173838759,0.175270795616457,0.354719923321014,"113","minus","easy","alpha"
0.10735173838759,0.0395778654927845,0.354719923321014,"113","minus","hard","alpha"
0.10735173838759,0.101461717241691,0.354719923321014,"113","minus","medium","alpha"
0.10735173838759,0.175270795616457,0.354719923321014,"113","plus","easy","alpha"
0.10735173838759,0.0395778654927845,0.354719923321014,"113","plus","hard","alpha"
0.10735173838759,0.101461717241691,0.354719923321014,"113","plus","medium","alpha"
0.0705779979200756,0.160240452757603,0.393799508236771,"115","minus","easy","alpha"
0.0705779979200756,0.0662465089417774,0.393799508236771,"115","minus","hard","alpha"
0.0705779979200756,0.0976940361460794,0.393799508236771,"115","minus","medium","alpha"
0.0705779979200756,0.160240452757603,0.393799508236771,"115","plus","easy","alpha"
0.0705779979200756,0.0662465089417774,0.393799508236771,"115","plus","hard","alpha"
0.0705779979200756,0.0976940361460794,0.393799508236771,"115","plus","medium","alpha"
0.0655797727005153,0.224193303250118,0.441307860196743,"116","minus","easy","alpha"
0.0655797727005153,0.0604147710035848,0.441307860196743,"116","minus","hard","alpha"
0.0655797727005153,0.15129924503628,0.441307860196743,"116","minus","medium","alpha"
0.0655797727005153,0.224193303250118,0.441307860196743,"116","plus","easy","alpha"
0.0655797727005153,0.0604147710035848,0.441307860196743,"116","plus","hard","alpha"
0.0655797727005153,0.15129924503628,0.441307860196743,"116","plus","medium","alpha"
