"cost_ldc","a0","b0","eta_a","eta_b","bound","drift","ter","cost_ddm","sub","difflevel","manip","model","z","vratio"
0.00836700671238936,5.7090825648164,6.31423517558159,0,0,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,"100","easy","alpha","no",0,1
0.00836700671238936,5.7090825648164,6.31423517558159,0,0,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,"100","hard","alpha","no",0,1
0.00836700671238936,5.7090825648164,6.31423517558159,0,0,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,"100","medium","alpha","no",0,1
0.00836700671235304,5.70910908898635,6.31420841708139,4.1503008880708e-12,0,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,"100","easy","alpha","alpha",0,1
0.00836700671235304,5.70910908898635,6.31420841708139,4.1503008880708e-12,0,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,"100","hard","alpha","alpha",0,1
0.00836700671235304,5.70910908898635,6.31420841708139,4.1503008880708e-12,0,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,"100","medium","alpha","alpha",0,1
0.00836700671236786,5.70913494447329,6.3141719723839,0,2.74694524368638e-11,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,"100","easy","alpha","beta",0,1
0.00836700671236786,5.70913494447329,6.3141719723839,0,2.74694524368638e-11,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,"100","hard","alpha","beta",0,1
0.00836700671236786,5.70913494447329,6.3141719723839,0,2.74694524368638e-11,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,"100","medium","alpha","beta",0,1
0.00836700671304814,5.70910494442694,6.31423433249071,8.33114094807650e-11,7.10711407456773e-10,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,"100","easy","alpha","both",0,1
0.00836700671304814,5.70910494442694,6.31423433249071,8.33114094807650e-11,7.10711407456773e-10,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,"100","hard","alpha","both",0,1
0.00836700671304814,5.70910494442694,6.31423433249071,8.33114094807650e-11,7.10711407456773e-10,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,"100","medium","alpha","both",0,1
0.00610372655461256,7.371946372306,1.9207148073156,0,0,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,"101","easy","alpha","no",0,1
0.00610372655461256,7.371946372306,1.9207148073156,0,0,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,"101","hard","alpha","no",0,1
0.00610372655461256,7.371946372306,1.9207148073156,0,0,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,"101","medium","alpha","no",0,1
0.00610372655462617,7.37195047601277,1.92070434571393,2.06927911051541e-11,0,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,"101","easy","alpha","alpha",0,1
0.00610372655462617,7.37195047601277,1.92070434571393,2.06927911051541e-11,0,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,"101","hard","alpha","alpha",0,1
0.00610372655462617,7.37195047601277,1.92070434571393,2.06927911051541e-11,0,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,"101","medium","alpha","alpha",0,1
0.00610372655463305,7.37194378761505,1.9207047692338,0,1.03222257181458e-11,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,"101","easy","alpha","beta",0,1
0.00610372655463305,7.37194378761505,1.9207047692338,0,1.03222257181458e-11,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,"101","hard","alpha","beta",0,1
0.00610372655463305,7.37194378761505,1.9207047692338,0,1.03222257181458e-11,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,"101","medium","alpha","beta",0,1
0.00610372655487871,7.37193451853174,1.9207475564932,1.35976121373488e-10,1.78388120200043e-10,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,"101","easy","alpha","both",0,1
0.00610372655487871,7.37193451853174,1.9207475564932,1.35976121373488e-10,1.78388120200043e-10,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,"101","hard","alpha","both",0,1
0.00610372655487871,7.37193451853174,1.9207475564932,1.35976121373488e-10,1.78388120200043e-10,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,"101","medium","alpha","both",0,1
0.0132514048840523,17.6335773620778,10.5973906142994,0,0,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,"102","easy","alpha","no",0,1
0.0132514048840523,17.6335773620778,10.5973906142994,0,0,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,"102","hard","alpha","no",0,1
0.0132514048840523,17.6335773620778,10.5973906142994,0,0,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,"102","medium","alpha","no",0,1
0.0132514048841072,17.633668950099,10.5973451303238,9.11609483384252e-11,0,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,"102","easy","alpha","alpha",0,1
0.0132514048841072,17.633668950099,10.5973451303238,9.11609483384252e-11,0,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,"102","hard","alpha","alpha",0,1
0.0132514048841072,17.633668950099,10.5973451303238,9.11609483384252e-11,0,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,"102","medium","alpha","alpha",0,1
0.0130881638621957,16.0605735187589,-14.5164216952306,0,12.897268715373,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,"102","easy","alpha","beta",0,1
