trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,0,0,0,47,33,1000,['c'],1,left,['0'],1,1711,[0.03666289],56,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
1,1,1,0,0,47,33,1850,['c'],1,left,['9'],2,1849,[0.39585272],93,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
2,2,2,0,0,33,47,3750,['n'],1,right,['2'],5,2882,[-0.51579112],94,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
3,3,3,0,0,36,44,1284,['n'],1,right,['2'],5,1020,[0.02835313],44,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
4,4,4,0,0,36,44,1116,['n'],1,right,['2'],5,1656,[-0.31765316],90,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
5,5,5,0,0,33,47,1267,['c'],0,right,['2'],5,772,[-0.04332467],39,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
6,6,6,0,0,33,47,1700,['n'],1,right,['2'],5,1169,[-0.05063729],60,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
7,7,7,0,0,27,53,734,['n'],1,right,['2'],5,822,[-0.08094977],69,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
8,8,8,0,0,33,47,1083,['c'],0,right,['2'],5,307,[-0.05427957],29,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
9,9,9,0,0,53,27,917,['c'],1,left,['2'],5,755,[0.06862243],67,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
10,10,10,0,0,36,44,766,['c'],0,right,['2'],5,287,[0.00952062],54,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
11,11,11,0,0,53,27,616,['c'],1,left,['2'],5,421,[0.23219539],96,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
12,12,12,0,0,36,44,1200,['c'],0,right,['2'],5,1652,[-0.34744117],8,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
13,13,13,0,0,53,27,701,['c'],1,left,['2'],5,215,[0.16483137],96,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
14,14,14,0,0,53,27,750,['c'],1,left,['2'],5,209,[0.11490764],91,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
15,15,15,0,0,36,44,1033,['n'],1,right,['8'],3,617,[-0.07727446],71,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
16,16,16,0,0,44,36,717,['c'],1,left,['2'],5,381,[0.07718383],75,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
17,17,17,0,0,53,27,984,['c'],1,left,['2'],5,192,[0.06259428],78,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
18,18,18,0,0,27,53,833,['n'],1,right,['2'],5,255,[-0.09774284],85,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
19,19,19,0,0,33,47,1199,['n'],1,right,['2'],5,231,[-0.12000283],90,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
20,20,20,0,0,44,36,701,['c'],1,left,['2'],5,234,[0.11769183],90,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
21,21,21,0,0,47,33,566,['c'],1,left,['2'],5,211,[0.1009524],88,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
22,22,22,0,0,44,36,583,['c'],1,left,['2'],5,149,[0.15314908],97,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
23,23,23,0,0,27,53,567,['n'],1,right,['2'],5,186,[-0.13297793],94,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
24,24,24,0,0,33,47,617,['c'],0,right,['2'],5,147,[-0.01127634],43,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
25,25,25,0,0,36,44,1183,['c'],0,right,['2'],5,159,[0.11448581],93,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
26,26,26,0,0,27,53,533,['n'],1,right,['2'],5,173,[-0.10857907],91,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
27,27,27,0,0,44,36,1817,['c'],1,left,['3'],4,350,[0.0983696],82,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
28,28,28,0,0,44,36,717,['c'],1,left,['2'],5,109,[0.0467269],78,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
29,29,29,0,0,27,53,700,['n'],1,right,['2'],5,134,[-0.02468516],65,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
30,30,30,0,0,53,27,550,['c'],1,left,['2'],5,188,[0.05919548],77,53,easy,minus,dotcolour,alfa,,,93,19,V,R,
31,31,31,0,0,47,33,683,['c'],1,left,['2'],5,138,[0.06255864],82,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
32,32,32,0,0,44,36,866,['c'],1,left,['2'],5,148,[0.04016042],72,44,hard,minus,dotcolour,alfa,,,93,19,V,R,
33,33,33,0,0,47,33,1000,['c'],1,left,['2'],5,135,[0.07183463],85,47,medium,minus,dotcolour,alfa,,,93,19,V,R,
