trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,0,0,0,44,36,1449,['n'],0,left,['9'],5,2511,[0.08292013],17,44,hard,minus,dotcolour,beta,,,27,18,V,R,
1,1,1,0,0,47,33,4682,['c'],1,left,['1'],1,1511,[-0.09043716],11,47,medium,minus,dotcolour,beta,,,27,18,V,R,
2,2,2,0,0,53,27,1597,['c'],1,left,['0'],6,563,[0.16379134],93,53,easy,minus,dotcolour,beta,,,27,18,V,R,
3,3,3,0,0,53,27,1282,['c'],1,left,['0'],6,547,[0.17933224],95,53,easy,minus,dotcolour,beta,,,27,18,V,R,
4,4,4,0,0,27,53,700,['n'],1,right,['0'],6,410,[-0.10189842],79,53,easy,minus,dotcolour,beta,,,27,18,V,R,
5,5,5,0,0,27,53,2348,['n'],1,right,['8'],4,604,[-0.21246265],97,53,easy,minus,dotcolour,beta,,,27,18,V,R,
6,6,6,0,0,33,47,716,['n'],1,right,['0'],6,344,[-0.04593681],43,47,medium,minus,dotcolour,beta,,,27,18,V,R,
7,7,7,0,0,53,27,797,['c'],1,left,['0'],6,668,[0.09832349],72,53,easy,minus,dotcolour,beta,,,27,18,V,R,
8,8,8,0,0,44,36,832,['c'],1,left,['0'],6,385,[0.23019704],99,44,hard,minus,dotcolour,beta,,,27,18,V,R,
9,9,9,0,0,33,47,2782,['c'],0,right,['3'],3,1267,[-0.12303796],5,47,medium,minus,dotcolour,beta,,,27,18,V,R,
10,10,10,0,0,36,44,1150,['n'],1,right,['9'],5,708,[-0.10351418],74,44,hard,minus,dotcolour,beta,,,27,18,V,R,
11,11,11,0,0,44,36,2132,['c'],1,left,['9'],5,323,[0.07810517],67,44,hard,minus,dotcolour,beta,,,27,18,V,R,
12,12,12,0,0,44,36,1066,['n'],0,left,['9'],5,308,[0.01640035],9,44,hard,minus,dotcolour,beta,,,27,18,V,R,
13,13,13,0,0,33,47,1948,['n'],1,right,['8'],4,451,[0.01526715],13,47,medium,minus,dotcolour,beta,,,27,18,V,R,
14,14,14,0,0,53,27,749,['c'],1,left,['0'],6,483,[0.247349],99,53,easy,minus,dotcolour,beta,,,27,18,V,R,
15,15,15,0,0,47,33,1163,['c'],1,left,['0'],6,203,[0.12018943],93,47,medium,minus,dotcolour,beta,,,27,18,V,R,
16,16,16,0,0,27,53,816,['n'],1,right,['0'],6,300,[-0.1643983],97,53,easy,minus,dotcolour,beta,,,27,18,V,R,
17,17,17,0,0,47,33,649,['c'],1,left,['0'],6,295,[0.06451524],57,47,medium,minus,dotcolour,beta,,,27,18,V,R,
18,18,18,0,0,33,47,1049,['c'],0,right,['3'],3,850,[-0.03532081],15,47,medium,minus,dotcolour,beta,,,27,18,V,R,
19,19,19,0,0,47,33,699,['n'],0,left,['0'],6,349,[0.02275561],8,47,medium,minus,dotcolour,beta,,,27,18,V,R,
20,20,20,0,0,36,44,1214,['n'],1,right,['0'],6,352,[-0.13368809],91,44,hard,minus,dotcolour,beta,,,27,18,V,R,
21,21,21,0,0,36,44,1664,['c'],0,right,['3'],3,473,[0.10222801],77,44,hard,minus,dotcolour,beta,,,27,18,V,R,
22,22,22,0,0,53,27,731,['c'],1,left,['0'],6,489,[0.10444291],78,53,easy,minus,dotcolour,beta,,,27,18,V,R,
23,23,23,0,0,36,44,1282,['c'],0,right,['9'],5,403,[-0.0353998],7,44,hard,minus,dotcolour,beta,,,27,18,V,R,
24,24,24,0,0,36,44,1382,['n'],1,right,['0'],6,405,[-0.11160149],83,44,hard,minus,dotcolour,beta,,,27,18,V,R,
25,25,25,0,0,47,33,766,['c'],1,left,['0'],6,336,[0.11962725],88,47,medium,minus,dotcolour,beta,,,27,18,V,R,
26,26,26,0,0,27,53,664,['n'],1,right,['0'],6,537,[-0.14635432],90,53,easy,minus,dotcolour,beta,,,27,18,V,R,
27,27,27,0,0,27,53,765,['n'],1,right,['0'],6,317,[-0.10559968],83,53,easy,minus,dotcolour,beta,,,27,18,V,R,
28,28,28,0,0,33,47,782,['n'],1,right,['0'],6,426,[-0.17209429],96,47,medium,minus,dotcolour,beta,,,27,18,V,R,
29,29,29,0,0,53,27,497,['c'],1,left,['0'],6,358,[0.16605953],97,53,easy,minus,dotcolour,beta,,,27,18,V,R,
30,30,30,0,0,36,44,1665,['n'],1,right,['3'],3,326,[-0.15926448],96,44,hard,minus,dotcolour,beta,,,27,18,V,R,
31,31,31,0,0,44,36,1317,['c'],1,left,['9'],5,502,[0.15012229],92,44,hard,minus,dotcolour,beta,,,27,18,V,R,
32,32,32,0,0,53,27,666,['n'],0,left,['1'],1,1128,[0.16323438],2,53,easy,minus,dotcolour,beta,,,27,18,V,R,
33,33,33,0,0,36,44,998,['c'],0,right,['9'],5,564,[-0.02943332],12,44,hard,minus,dotcolour,beta,,,27,18,V,R,
34,34,34,0,0,44,36,983,['c'],1,left,['9'],5,536,[0.00522219],22,44,hard,minus,dotcolour,beta,,,27,18,V,R,
35,35,35,0,0,27,53,782,['n'],1,right,['0'],6,315,[-0.08088072],69,53,easy,minus,dotcolour,beta,,,27,18,V,R,
36,36,36,0,0,47,33,866,['c'],1,left,['9'],5,270,[0.16152561],98,47,medium,minus,dotcolour,beta,,,27,18,V,R,
37,37,37,0,0,27,53,616,['n'],1,right,['0'],6,436,[-0.12908176],88,53,easy,minus,dotcolour,beta,,,27,18,V,R,
38,38,38,0,0,44,36,700,['c'],1,left,['0'],6,391,[0.07389974],63,44,hard,minus,dotcolour,beta,,,27,18,V,R,
39,39,39,0,0,33,47,681,['n'],1,right,['0'],6,342,[0.02697952],7,47,medium,minus,dotcolour,beta,,,27,18,V,R,
40,40,40,0,0,47,33,949,['c'],1,left,['0'],6,355,[0.13124425],91,47,medium,minus,dotcolour,beta,,,27,18,V,R,
41,41,41,0,0,33,47,848,['n'],1,right,['0'],6,332,[-0.11988512],88,47,medium,minus,dotcolour,beta,,,27,18,V,R,
42,42,0,1,0,27,53,633,['n'],1,right,['9'],5,407,[-0.11912769],86,53,easy,minus,dotcolour,beta,,,27,18,V,R,
43,43,1,1,0,27,53,566,['n'],1,right,['9'],5,321,[-0.07235933],63,53,easy,minus,dotcolour,beta,,,27,18,V,R,
44,44,2,1,0,53,27,515,['c'],1,left,['9'],5,425,[0.1778639],97,53,easy,minus,dotcolour,beta,,,27,18,V,R,
45,45,3,1,0,33,47,1966,['n'],1,right,['9'],5,322,[-0.16341563],97,47,medium,minus,dotcolour,beta,,,27,18,V,R,
46,46,4,1,0,47,33,564,['c'],1,left,['9'],5,296,[0.09169911],77,47,medium,minus,dotcolour,beta,,,27,18,V,R,
47,47,5,1,0,53,27,615,['c'],1,left,['0'],6,316,[0.09207839],76,53,easy,minus,dotcolour,beta,,,27,18,V,R,
48,48,6,1,0,36,44,1449,['c'],0,right,['8'],4,895,[-0.05472159],11,44,hard,minus,dotcolour,beta,,,27,18,V,R,
49,49,7,1,0,33,47,1098,['n'],1,right,['0'],6,400,[-0.09470224],75,47,medium,minus,dotcolour,beta,,,27,18,V,R,
50,50,8,1,0,44,36,798,['c'],1,left,['0'],6,322,[0.0689361],60,44,hard,minus,dotcolour,beta,,,27,18,V,R,
51,51,9,1,0,44,36,1115,['c'],1,left,['0'],6,241,[0.08652783],76,44,hard,minus,dotcolour,beta,,,27,18,V,R,
52,52,10,1,0,53,27,516,['n'],0,left,['0'],6,268,[-0.06859802],61,53,easy,minus,dotcolour,beta,,,27,18,V,R,
53,53,11,1,0,53,27,598,['n'],0,left,['1'],1,843,[0.0590498],10,53,easy,minus,dotcolour,beta,,,27,18,V,R,
54,54,12,1,0,44,36,1132,['c'],1,left,['2'],2,1028,[-0.01237333],23,44,hard,minus,dotcolour,beta,,,27,18,V,R,
55,55,13,1,0,53,27,798,['c'],1,left,['0'],6,389,[0.24687889],100,53,easy,minus,dotcolour,beta,,,27,18,V,R,
56,56,14,1,0,36,44,698,['n'],1,right,['0'],6,227,[-0.08197667],73,44,hard,minus,dotcolour,beta,,,27,18,V,R,
57,57,15,1,0,44,36,1549,['c'],1,left,['9'],5,388,[0.19334301],98,44,hard,minus,dotcolour,beta,,,27,18,V,R,
58,58,16,1,0,47,33,664,['n'],0,left,['1'],1,780,[0.01821875],18,47,medium,minus,dotcolour,beta,,,27,18,V,R,
59,59,17,1,0,27,53,1832,['c'],0,right,['8'],4,757,[0.00263432],25,53,easy,minus,dotcolour,beta,,,27,18,V,R,
60,60,18,1,0,44,36,2732,['c'],1,left,['0'],6,666,[0.06565099],56,44,hard,minus,dotcolour,beta,,,27,18,V,R,
61,61,19,1,0,36,44,2432,['n'],1,right,['9'],5,447,[-0.15164168],93,44,hard,minus,dotcolour,beta,,,27,18,V,R,
62,62,20,1,0,47,33,798,['c'],1,left,['9'],5,663,[0.14501529],88,47,medium,minus,dotcolour,beta,,,27,18,V,R,
63,63,21,1,0,36,44,1498,['c'],0,right,['9'],5,594,[-0.00855634],18,44,hard,minus,dotcolour,beta,,,27,18,V,R,
64,64,22,1,0,33,47,832,['c'],0,right,['2'],2,1905,[-0.07731432],15,47,medium,minus,dotcolour,beta,,,27,18,V,R,
65,65,23,1,0,44,36,964,['c'],1,left,['0'],6,398,[0.12849126],89,44,hard,minus,dotcolour,beta,,,27,18,V,R,
