trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,0,0,0,44,36,2167,['c'],1,left,['8'],4,2573,[0.05890182],78,44,hard,plus,dotcolour,beta,,,2,18,V,R,
1,1,1,0,0,27,53,1232,['n'],1,right,['0'],6,1429,[-0.09709871],91,53,easy,plus,dotcolour,beta,,,2,18,V,R,
2,2,2,0,0,36,44,3282,['c'],0,right,['3'],3,577,[0.0581292],94,44,hard,plus,dotcolour,beta,,,2,18,V,R,
3,3,3,0,0,53,27,4049,['c'],1,left,['3'],3,1673,[0.43618261],100,53,easy,plus,dotcolour,beta,,,2,18,V,R,
4,4,4,0,0,47,33,1532,['n'],0,left,['8'],4,1354,[-0.0858254],90,47,medium,plus,dotcolour,beta,,,2,18,V,R,
5,5,5,0,0,44,36,1681,['c'],1,left,['8'],4,1313,[0.07581036],89,44,hard,plus,dotcolour,beta,,,2,18,V,R,
6,6,6,0,0,44,36,1566,['n'],0,left,['0'],6,1167,[0.04765192],53,44,hard,plus,dotcolour,beta,,,2,18,V,R,
7,7,7,0,0,36,44,1433,['n'],1,right,['9'],5,2031,[-0.04600237],78,44,hard,plus,dotcolour,beta,,,2,18,V,R,
8,8,8,0,0,27,53,897,['n'],1,right,['0'],6,731,[-0.07992346],95,53,easy,plus,dotcolour,beta,,,2,18,V,R,
9,9,9,0,0,53,27,2099,['c'],1,left,['8'],4,1283,[0.3324758],100,53,easy,plus,dotcolour,beta,,,2,18,V,R,
10,10,10,0,0,36,44,983,['n'],1,right,['9'],5,952,[-0.11151422],96,44,hard,plus,dotcolour,beta,,,2,18,V,R,
11,11,11,0,0,27,53,881,['n'],1,right,['0'],6,463,[-0.15562436],100,53,easy,plus,dotcolour,beta,,,2,18,V,R,
12,12,12,0,0,47,33,1015,['c'],1,left,['9'],5,1021,[0.24443713],100,47,medium,plus,dotcolour,beta,,,2,18,V,R,
13,13,13,0,0,36,44,1165,['n'],1,right,['0'],6,1479,[-0.11099519],92,44,hard,plus,dotcolour,beta,,,2,18,V,R,
14,14,14,0,0,36,44,1150,['n'],1,right,['8'],4,1199,[-0.11203307],94,44,hard,plus,dotcolour,beta,,,2,18,V,R,
