trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,0,0,0,44,36,4751,['n'],0,left,['3'],3,3929,[-0.1224524],64,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
1,1,1,0,0,33,47,1517,['n'],1,right,['9'],5,2455,[-0.40505738],91,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
2,2,2,0,0,33,47,3034,['n'],1,right,['8'],4,2964,[-0.28797371],82,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
3,3,3,0,0,44,36,1601,['c'],1,left,['8'],4,1734,[0.28047333],87,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
4,4,4,0,0,27,53,1267,['n'],1,right,['9'],5,2727,[-0.27417855],82,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
5,5,5,0,0,27,53,1084,['n'],1,right,['9'],5,926,[-0.0552557],63,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
6,6,6,0,0,33,47,1016,['n'],1,right,['9'],5,802,[-0.13375901],79,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
7,7,7,0,0,53,27,950,['c'],1,left,['9'],5,805,[-0.00231887],49,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
8,8,8,0,0,33,47,1334,['n'],1,right,['9'],5,1144,[0.05849348],38,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
9,9,9,0,0,44,36,1101,['c'],1,left,['8'],4,1007,[0.1013756],71,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
10,10,10,0,0,27,53,1017,['n'],1,right,['9'],5,447,[-0.13577468],86,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
11,11,11,0,0,53,27,783,['c'],1,left,['9'],5,599,[0.28526319],97,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
12,12,12,0,0,53,27,866,['c'],1,left,['9'],5,598,[0.17108544],88,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
13,13,13,0,0,44,36,767,['c'],1,left,['9'],5,457,[0.17443151],91,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
14,14,14,0,0,36,44,1033,['n'],1,right,['8'],4,1206,[-0.29025912],92,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
15,15,15,0,0,53,27,783,['c'],1,left,['9'],5,479,[0.27248587],97,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
16,16,16,0,0,44,36,899,['c'],1,left,['9'],5,530,[0.1243159],82,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
17,17,17,0,0,44,36,1234,['c'],1,left,['9'],5,444,[0.10359949],80,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
18,18,18,0,0,36,44,850,['n'],1,right,['9'],5,1025,[0.19894181],15,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
19,19,19,0,0,36,44,1467,['n'],1,right,['9'],5,727,[-0.13274185],80,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
20,20,20,0,0,27,53,750,['n'],1,right,['9'],5,581,[-0.09861505],76,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
21,21,21,0,0,47,33,716,['c'],1,left,['8'],4,826,[0.08275334],69,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
22,22,22,0,0,53,27,801,['c'],1,left,['9'],5,483,[0.08161872],74,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
23,23,23,0,0,33,47,1450,['c'],0,right,['8'],4,686,[0.09017046],73,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
24,24,24,0,0,47,33,1151,['c'],1,left,['8'],4,933,[0.1696142],83,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
25,25,25,0,0,27,53,884,['n'],1,right,['9'],5,351,[-0.16515571],92,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
26,26,26,0,0,36,44,918,['n'],1,right,['9'],5,357,[-0.03113894],62,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
27,27,27,0,0,33,47,900,['n'],1,right,['9'],5,716,[-0.33564578],97,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
28,28,28,0,0,44,36,850,['c'],1,left,['8'],4,846,[0.06367088],65,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
29,29,29,0,0,36,44,1117,['c'],0,right,['8'],4,793,[0.0197782],55,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
30,30,30,0,0,47,33,1032,['c'],1,left,['9'],5,489,[0.14792546],87,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
31,31,31,0,0,36,44,2934,['n'],1,right,['8'],4,873,[-0.14608744],80,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
32,32,32,0,0,36,44,1000,['n'],1,right,['8'],4,927,[-0.16131152],82,44,hard,minus,dotcolour,alfa,,,95,18,V,R,
33,33,33,0,0,27,53,816,['n'],1,right,['9'],5,451,[-0.11613867],83,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
34,34,34,0,0,53,27,2484,['c'],1,left,['9'],5,671,[0.26576408],95,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
35,35,35,0,0,47,33,949,['c'],1,left,['9'],5,311,[0.20008865],96,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
36,36,36,0,0,47,33,1000,['c'],1,left,['9'],5,411,[0.121275],85,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
37,37,37,0,0,27,53,1051,['n'],1,right,['9'],5,330,[-0.12853475],88,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
38,38,38,0,0,47,33,1234,['c'],1,left,['9'],5,285,[0.03709894],65,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
39,39,39,0,0,47,33,934,['c'],1,left,['9'],5,269,[0.10364881],86,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
40,40,40,0,0,53,27,917,['c'],1,left,['9'],5,279,[0.09036424],82,53,easy,minus,dotcolour,alfa,,,95,18,V,R,
41,41,41,0,0,33,47,850,['n'],1,right,['9'],5,283,[-0.09119836],82,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
42,42,0,1,0,47,33,2234,['c'],1,left,['8'],4,1233,[0.08482638],67,47,medium,minus,dotcolour,alfa,,,95,18,V,R,
