trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,0,0,0,47,33,1283,['n'],0,left,['2'],5,1743,[0.13049478],3,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
1,1,1,0,0,44,36,1150,['c'],1,left,['2'],5,1685,[0.30964775],100,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
2,2,2,0,0,44,36,1067,['c'],1,left,['2'],5,1015,[0.04038678],81,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
3,3,3,0,0,47,33,850,['n'],0,left,['3'],4,1813,[0.22538564],0,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
4,4,4,0,0,27,53,650,['n'],1,right,['2'],5,1075,[-0.10631566],98,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
5,5,5,0,0,47,33,1000,['c'],1,left,['1'],6,1785,[0.19046941],99,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
6,6,6,0,0,53,27,616,['c'],1,left,['2'],5,770,[0.32906382],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
7,7,7,0,0,33,47,767,['n'],1,right,['2'],5,669,[-0.26555623],100,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
8,8,8,0,0,53,27,1034,['c'],1,left,['2'],5,585,[0.18688874],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
9,9,9,0,0,33,47,501,['n'],1,right,['3'],4,1072,[-0.27138073],100,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
10,10,10,0,0,36,44,650,['n'],1,right,['3'],4,556,[0.01515842],32,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
11,11,11,0,0,33,47,783,['n'],1,right,['8'],3,887,[-0.2139303],100,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
12,12,12,0,0,33,47,533,['c'],0,right,['3'],4,815,[-0.12378724],1,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
13,13,13,0,0,44,36,800,['c'],1,left,['2'],5,1088,[0.0066118],56,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
14,14,14,0,0,36,44,1000,['n'],1,right,['2'],5,549,[-0.1408598],100,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
15,15,15,0,0,44,36,800,['c'],1,left,['8'],3,1832,[0.01924881],63,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
16,16,16,0,0,27,53,866,['n'],1,right,['2'],5,925,[-0.16777958],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
17,17,17,0,0,44,36,583,['c'],1,left,['2'],5,642,[0.05653644],93,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
18,18,18,0,0,27,53,583,['n'],1,right,['2'],5,714,[-0.09161402],98,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
19,19,19,0,0,53,27,817,['c'],1,left,['8'],3,646,[0.21795078],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
20,20,20,0,0,36,44,1167,['n'],1,right,['8'],3,798,[-0.09508522],98,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
21,21,21,0,0,27,53,934,['n'],1,right,['2'],5,555,[-0.20840901],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
22,22,22,0,0,44,36,650,['n'],0,left,['2'],5,603,[0.00392526],45,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
23,23,23,0,0,33,47,617,['n'],1,right,['8'],3,851,[-0.18766111],100,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
24,24,24,0,0,44,36,1267,['n'],0,left,['8'],3,783,[0.01664005],34,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
25,25,25,0,0,47,33,684,['c'],1,left,['3'],4,702,[0.06363723],94,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
26,26,26,0,0,36,44,634,['n'],1,right,['2'],5,754,[-0.0014962],52,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
27,27,27,0,0,27,53,617,['n'],1,right,['2'],5,597,[-0.21868728],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
28,28,28,0,0,36,44,500,['n'],1,right,['3'],4,594,[-0.18812944],100,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
29,29,29,0,0,47,33,566,['n'],0,left,['3'],4,356,[-0.0700928],99,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
30,30,30,0,0,27,53,832,['n'],1,right,['2'],5,901,[-0.20387817],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
31,31,31,0,0,53,27,717,['c'],1,left,['8'],3,686,[0.18662639],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
32,32,32,0,0,53,27,1267,['c'],1,left,['3'],4,729,[0.25897527],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
33,33,33,0,0,53,27,600,['n'],0,left,['8'],3,701,[0.06934871],5,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
34,34,34,0,0,47,33,617,['c'],1,left,['3'],4,673,[0.15282613],100,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
35,35,35,0,0,36,44,1550,['c'],0,right,['2'],5,625,[-0.02474738],24,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
36,36,36,0,0,36,44,733,['n'],1,right,['8'],3,580,[0.00702694],42,44,hard,plus,dotcolour,alfa,,,96,20,V,R,
37,37,37,0,0,47,33,883,['c'],1,left,['8'],3,563,[0.07607354],97,47,medium,plus,dotcolour,alfa,,,96,20,V,R,
38,38,38,0,0,27,53,534,['n'],1,right,['3'],4,616,[-0.24454885],100,53,easy,plus,dotcolour,alfa,,,96,20,V,R,
