trial,withinphasetrial,withinblocktrial,block,phase,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,0,0,0,36,44,3299,['n'],1,right,['2'],5,2172,[-0.07926426],84,44,hard,plus,dotcolour,beta,,,48,20,V,L,
1,1,1,0,0,36,44,1367,['n'],1,right,['2'],5,959,[-0.05627036],89,44,hard,plus,dotcolour,beta,,,48,20,V,L,
2,2,2,0,0,53,27,1850,['c'],1,left,['2'],5,711,[0.20398563],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
3,3,3,0,0,47,33,1300,['c'],1,left,['1'],6,456,[0.16742323],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
4,4,4,0,0,53,27,1034,['c'],1,left,['1'],6,365,[0.12451664],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
5,5,5,0,0,33,47,1100,['n'],1,right,['2'],5,404,[-0.05882686],96,47,medium,plus,dotcolour,beta,,,48,20,V,L,
6,6,6,0,0,33,47,1166,['n'],1,right,['1'],6,374,[-0.08027944],98,47,medium,plus,dotcolour,beta,,,48,20,V,L,
7,7,7,0,0,44,36,2266,['n'],0,left,['2'],5,837,[-0.11300569],96,44,hard,plus,dotcolour,beta,,,48,20,V,L,
8,8,8,0,0,44,36,800,['n'],0,left,['1'],6,325,[-0.16804746],100,44,hard,plus,dotcolour,beta,,,48,20,V,L,
9,9,9,0,0,44,36,850,['n'],0,left,['1'],6,279,[-0.05968362],98,44,hard,plus,dotcolour,beta,,,48,20,V,L,
10,10,10,0,0,27,53,816,['n'],1,right,['1'],6,188,[-0.09214647],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
11,11,11,0,0,47,33,1067,['c'],1,left,['1'],6,331,[0.09809983],99,47,medium,plus,dotcolour,beta,,,48,20,V,L,
12,12,12,0,0,47,33,1350,['c'],1,left,['1'],6,409,[0.060134],96,47,medium,plus,dotcolour,beta,,,48,20,V,L,
13,13,13,0,0,47,33,1417,['c'],1,left,['2'],5,393,[0.04957657],95,47,medium,plus,dotcolour,beta,,,48,20,V,L,
14,14,14,0,0,36,44,700,['n'],1,right,['1'],6,542,[-0.0467043],92,44,hard,plus,dotcolour,beta,,,48,20,V,L,
15,15,15,0,0,53,27,667,['c'],1,left,['1'],6,343,[0.07720119],98,53,easy,plus,dotcolour,beta,,,48,20,V,L,
16,16,16,0,0,27,53,733,['n'],1,right,['1'],6,133,[-0.09317226],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
17,17,17,0,0,27,53,617,['n'],1,right,['1'],6,120,[-0.0904449],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
18,18,18,0,0,27,53,483,['n'],1,right,['1'],6,114,[-0.08745096],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
19,19,19,0,0,47,33,618,['c'],1,left,['1'],6,222,[0.10361935],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
20,20,20,0,0,53,27,517,['n'],0,left,['9'],2,1009,[0.0524814],51,53,easy,plus,dotcolour,beta,,,48,20,V,L,
21,21,21,0,0,44,36,815,['n'],0,left,['1'],6,217,[-0.02304977],95,44,hard,plus,dotcolour,beta,,,48,20,V,L,
22,22,22,0,0,33,47,567,['n'],1,right,['1'],6,163,[-0.10456714],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
23,23,23,0,0,53,27,1034,['c'],1,left,['1'],6,261,[0.11729116],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
24,24,24,0,0,27,53,549,['n'],1,right,['1'],6,149,[-0.03679403],99,53,easy,plus,dotcolour,beta,,,48,20,V,L,
25,25,25,0,0,33,47,533,['n'],1,right,['1'],6,155,[-0.09954665],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
26,26,26,0,0,36,44,400,['n'],1,right,['1'],6,222,[-0.16266157],100,44,hard,plus,dotcolour,beta,,,48,20,V,L,
27,27,27,0,0,27,53,484,['n'],1,right,['1'],6,139,[-0.01518279],97,53,easy,plus,dotcolour,beta,,,48,20,V,L,
28,28,28,0,0,36,44,400,['n'],1,right,['1'],6,78,[-0.04623359],100,44,hard,plus,dotcolour,beta,,,48,20,V,L,
29,29,29,0,0,53,27,767,['c'],1,left,['1'],6,126,[0.09719873],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
30,30,30,0,0,53,27,1017,['c'],1,left,['1'],6,137,[0.17529848],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
31,31,31,0,0,44,36,550,['c'],1,left,['1'],6,223,[0.09368567],100,44,hard,plus,dotcolour,beta,,,48,20,V,L,
32,32,32,0,0,33,47,550,['n'],1,right,['1'],6,121,[-0.00653403],96,47,medium,plus,dotcolour,beta,,,48,20,V,L,
33,33,33,0,0,47,33,633,['c'],1,left,['1'],6,189,[0.06491433],99,47,medium,plus,dotcolour,beta,,,48,20,V,L,
34,34,34,0,0,36,44,633,['n'],1,right,['1'],6,149,[-0.07854517],100,44,hard,plus,dotcolour,beta,,,48,20,V,L,
35,35,35,0,0,33,47,683,['n'],1,right,['1'],6,157,[-0.08324594],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
36,36,36,0,0,27,53,600,['n'],1,right,['1'],6,136,[-0.10509983],100,53,easy,plus,dotcolour,beta,,,48,20,V,L,
37,37,37,0,0,36,44,766,['n'],1,right,['1'],6,117,[-0.06485159],100,44,hard,plus,dotcolour,beta,,,48,20,V,L,
38,38,38,0,0,44,36,700,['c'],1,left,['1'],6,197,[0.04517681],98,44,hard,plus,dotcolour,beta,,,48,20,V,L,
39,39,39,0,0,47,33,601,['c'],1,left,['1'],6,159,[0.11133144],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
40,40,40,0,0,44,36,683,['c'],1,left,['1'],6,167,[0.11172381],100,44,hard,plus,dotcolour,beta,,,48,20,V,L,
41,41,41,0,0,33,47,934,['n'],1,right,['1'],6,140,[-0.1260081],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
42,42,0,1,0,44,36,1051,['c'],1,left,['1'],6,190,[0.07036265],99,44,hard,plus,dotcolour,beta,,,48,20,V,L,
43,43,1,1,0,44,36,1717,['n'],0,left,['3'],4,1290,[0.0876534],38,44,hard,plus,dotcolour,beta,,,48,20,V,L,
44,44,2,1,0,47,33,1200,['c'],1,left,['3'],4,1519,[0.06043504],84,47,medium,plus,dotcolour,beta,,,48,20,V,L,
45,45,3,1,0,53,27,800,['c'],1,left,['1'],6,284,[0.09890445],99,53,easy,plus,dotcolour,beta,,,48,20,V,L,
46,46,4,1,0,53,27,650,['c'],1,left,['1'],6,375,[0.10113859],99,53,easy,plus,dotcolour,beta,,,48,20,V,L,
47,47,5,1,0,53,27,618,['c'],1,left,['1'],6,209,[0.07679244],99,53,easy,plus,dotcolour,beta,,,48,20,V,L,
48,48,6,1,0,47,33,1017,['c'],1,left,['2'],5,425,[0.07934122],98,47,medium,plus,dotcolour,beta,,,48,20,V,L,
49,49,7,1,0,33,47,666,['n'],1,right,['1'],6,222,[-0.08972926],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
50,50,8,1,0,33,47,684,['n'],1,right,['1'],6,163,[-0.14210346],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
51,51,9,1,0,33,47,584,['n'],1,right,['1'],6,126,[-0.11933646],100,47,medium,plus,dotcolour,beta,,,48,20,V,L,
52,52,10,1,0,36,44,434,['n'],1,right,['1'],6,121,[-0.1693026],100,44,hard,plus,dotcolour,beta,,,48,20,V,L,
53,53,11,1,0,44,36,433,['n'],0,left,['1'],6,108,[-0.09835821],100,44,hard,plus,dotcolour,beta,,,48,20,V,L,
54,54,12,1,0,47,33,851,['c'],1,left,['2'],5,183,[0.05818039],99,47,medium,plus,dotcolour,beta,,,48,20,V,L,
