"sub","condition","difflevel","cost_ldc","a0","b0","eta_a","eta_b","manip","model","Ndata_point","Npar","bic","best","bound","drift","ter","cost_ddm","z","vratio"
10,"minus","easy",0.0048734874309485,8.578109321557,2.90274232661246,2.31125679601915,3.7203718938344,"beta","both",753,4,-8970.35581204002,"no",0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"minus","easy",0.00487348743051539,8.57821337696013,2.90264174317172,0,3.7203718938344,"beta","beta",753,3,-8976.97987733474,"no",0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"minus","easy",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,"no",0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"minus","easy",0.00487348743063945,8.57815001284756,2.9026836198133,2.31125679601915,0,"beta","alpha",753,3,-8976.97987731557,"no",0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"minus","hard",0.0048734874309485,8.578109321557,2.90274232661246,2.31125679601915,3.7203718938344,"beta","both",753,4,-8970.35581204002,"no",0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"minus","hard",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,"no",0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"minus","hard",0.00487348743051539,8.57821337696013,2.90264174317172,0,3.7203718938344,"beta","beta",753,3,-8976.97987733474,"no",0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"minus","hard",0.00487348743063945,8.57815001284756,2.9026836198133,2.31125679601915,0,"beta","alpha",753,3,-8976.97987731557,"no",0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"minus","medium",0.0048734874309485,8.578109321557,2.90274232661246,2.31125679601915,3.7203718938344,"beta","both",753,4,-8970.35581204002,"no",0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"minus","medium",0.00487348743063945,8.57815001284756,2.9026836198133,2.31125679601915,0,"beta","alpha",753,3,-8976.97987731557,"no",0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"minus","medium",0.00487348743051539,8.57821337696013,2.90264174317172,0,3.7203718938344,"beta","beta",753,3,-8976.97987733474,"no",0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"minus","medium",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,"no",0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"plus","easy",0.00487348743063945,8.57815001284756,2.9026836198133,2.31125679601915,0,"beta","alpha",753,3,-8976.97987731557,"no",0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"plus","easy",0.00487348743051539,8.57821337696013,2.90264174317172,0,3.7203718938344,"beta","beta",753,3,-8976.97987733474,"no",0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"plus","easy",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,"no",0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"plus","easy",0.0048734874309485,8.578109321557,2.90274232661246,2.31125679601915,3.7203718938344,"beta","both",753,4,-8970.35581204002,"no",0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
