"sub","condition","difflevel","cost_ldc","a0","b0","eta_a","eta_b","manip","model","Ndata_point","Npar","bic","bound","drift","ter","cost_ddm","z","vratio"
10,"minus","easy",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"minus","easy",0.00487348743051539,8.57821337696013,2.90264174317172,0,1.00003403937895,"beta","beta",753,3,-8976.97987733474,0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"minus","easy",0.0048734874309485,8.578109321557,2.90274232661246,1.34539356325978,1.00003403937895,"beta","both",753,4,-8970.35581204002,0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"minus","easy",0.00487348743063945,8.57815001284756,2.9026836198133,1.34539356325978,0,"beta","alpha",753,3,-8976.97987731557,0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"minus","hard",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"minus","hard",0.00487348743063945,8.57815001284756,2.9026836198133,1.34539356325978,0,"beta","alpha",753,3,-8976.97987731557,0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"minus","hard",0.0048734874309485,8.578109321557,2.90274232661246,1.34539356325978,1.00003403937895,"beta","both",753,4,-8970.35581204002,0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"minus","hard",0.00487348743051539,8.57821337696013,2.90264174317172,0,1.00003403937895,"beta","beta",753,3,-8976.97987733474,0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"minus","medium",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"minus","medium",0.0048734874309485,8.578109321557,2.90274232661246,1.34539356325978,1.00003403937895,"beta","both",753,4,-8970.35581204002,0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"minus","medium",0.00487348743051539,8.57821337696013,2.90264174317172,0,1.00003403937895,"beta","beta",753,3,-8976.97987733474,0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"minus","medium",0.00487348743063945,8.57815001284756,2.9026836198133,1.34539356325978,0,"beta","alpha",753,3,-8976.97987731557,0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"plus","easy",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"plus","easy",0.0048734874309485,8.578109321557,2.90274232661246,1.34539356325978,1.00003403937895,"beta","both",753,4,-8970.35581204002,0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"plus","easy",0.00487348743051539,8.57821337696013,2.90264174317172,0,1.00003403937895,"beta","beta",753,3,-8976.97987733474,0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"plus","easy",0.00487348743063945,8.57815001284756,2.9026836198133,1.34539356325978,0,"beta","alpha",753,3,-8976.97987731557,0.0702215085746894,0.147455421388311,0.351202370963879,0.00264610628201898,0,1
10,"plus","hard",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"plus","hard",0.00487348743063945,8.57815001284756,2.9026836198133,1.34539356325978,0,"beta","alpha",753,3,-8976.97987731557,0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"plus","hard",0.0048734874309485,8.578109321557,2.90274232661246,1.34539356325978,1.00003403937895,"beta","both",753,4,-8970.35581204002,0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"plus","hard",0.00487348743051539,8.57821337696013,2.90264174317172,0,1.00003403937895,"beta","beta",753,3,-8976.97987733474,0.0702215085746894,0.0442437786059231,0.351202370963879,0.00264610628201898,0,1
10,"plus","medium",0.00487348743049823,8.57824001086292,2.90262484633113,0,0,"beta","no",753,2,-8983.60394256519,0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"plus","medium",0.00487348743063945,8.57815001284756,2.9026836198133,1.34539356325978,0,"beta","alpha",753,3,-8976.97987731557,0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"plus","medium",0.00487348743051539,8.57821337696013,2.90264174317172,0,1.00003403937895,"beta","beta",753,3,-8976.97987733474,0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
10,"plus","medium",0.0048734874309485,8.578109321557,2.90274232661246,1.34539356325978,1.00003403937895,"beta","both",753,4,-8970.35581204002,0.0702215085746894,0.113670124508205,0.351202370963879,0.00264610628201898,0,1
100,"minus","easy",0.00836700671304814,5.70910494442694,6.31423433249071,1.00190784492516,1.00421945011597,"alpha","both",753,4,-8563.36954236861,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,0,1
100,"minus","easy",0.00836700671238936,5.7090825648164,6.31423517558159,0,0,"alpha","no",753,2,-8576.6176728835,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,0,1
100,"minus","easy",0.00836700671235304,5.70910908898635,6.31420841708139,1.00190784492516,0,"alpha","alpha",753,3,-8569.99360765897,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,0,1
100,"minus","easy",0.00836700671236786,5.70913494447329,6.3141719723839,0,1.00421945011597,"alpha","beta",753,3,-8569.99360765763,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,0,1
100,"minus","hard",0.00836700671304814,5.70910494442694,6.31423433249071,1.00190784492516,1.00421945011597,"alpha","both",753,4,-8563.36954236861,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,0,1
100,"minus","hard",0.00836700671238936,5.7090825648164,6.31423517558159,0,0,"alpha","no",753,2,-8576.6176728835,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,0,1
100,"minus","hard",0.00836700671235304,5.70910908898635,6.31420841708139,1.00190784492516,0,"alpha","alpha",753,3,-8569.99360765897,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,0,1
100,"minus","hard",0.00836700671236786,5.70913494447329,6.3141719723839,0,1.00421945011597,"alpha","beta",753,3,-8569.99360765763,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,0,1
100,"minus","medium",0.00836700671238936,5.7090825648164,6.31423517558159,0,0,"alpha","no",753,2,-8576.6176728835,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,0,1
100,"minus","medium",0.00836700671304814,5.70910494442694,6.31423433249071,1.00190784492516,1.00421945011597,"alpha","both",753,4,-8563.36954236861,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,0,1
100,"minus","medium",0.00836700671236786,5.70913494447329,6.3141719723839,0,1.00421945011597,"alpha","beta",753,3,-8569.99360765763,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,0,1
100,"minus","medium",0.00836700671235304,5.70910908898635,6.31420841708139,1.00190784492516,0,"alpha","alpha",753,3,-8569.99360765897,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,0,1
100,"plus","easy",0.00836700671304814,5.70910494442694,6.31423433249071,1.00190784492516,1.00421945011597,"alpha","both",753,4,-8563.36954236861,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,0,1
100,"plus","easy",0.00836700671238936,5.7090825648164,6.31423517558159,0,0,"alpha","no",753,2,-8576.6176728835,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,0,1
100,"plus","easy",0.00836700671236786,5.70913494447329,6.3141719723839,0,1.00421945011597,"alpha","beta",753,3,-8569.99360765763,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,0,1
100,"plus","easy",0.00836700671235304,5.70910908898635,6.31420841708139,1.00190784492516,0,"alpha","alpha",753,3,-8569.99360765897,0.0853684202701332,0.168777670561207,0.582151482291796,0.00120012757382077,0,1
100,"plus","hard",0.00836700671304814,5.70910494442694,6.31423433249071,1.00190784492516,1.00421945011597,"alpha","both",753,4,-8563.36954236861,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,0,1
100,"plus","hard",0.00836700671236786,5.70913494447329,6.3141719723839,0,1.00421945011597,"alpha","beta",753,3,-8569.99360765763,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,0,1
100,"plus","hard",0.00836700671238936,5.7090825648164,6.31423517558159,0,0,"alpha","no",753,2,-8576.6176728835,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,0,1
100,"plus","hard",0.00836700671235304,5.70910908898635,6.31420841708139,1.00190784492516,0,"alpha","alpha",753,3,-8569.99360765897,0.0853684202701332,0.0447832758068112,0.582151482291796,0.00120012757382077,0,1
100,"plus","medium",0.00836700671304814,5.70910494442694,6.31423433249071,1.00190784492516,1.00421945011597,"alpha","both",753,4,-8563.36954236861,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,0,1
100,"plus","medium",0.00836700671236786,5.70913494447329,6.3141719723839,0,1.00421945011597,"alpha","beta",753,3,-8569.99360765763,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,0,1
100,"plus","medium",0.00836700671238936,5.7090825648164,6.31423517558159,0,0,"alpha","no",753,2,-8576.6176728835,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,0,1
100,"plus","medium",0.00836700671235304,5.70910908898635,6.31420841708139,1.00190784492516,0,"alpha","alpha",753,3,-8569.99360765897,0.0853684202701332,0.120172207322918,0.582151482291796,0.00120012757382077,0,1
101,"minus","easy",0.00610372655463305,7.37194378761505,1.9207047692338,0,1.00000462133746,"alpha","beta",753,3,-8807.48732600403,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,0,1
101,"minus","easy",0.00610372655461256,7.371946372306,1.9207148073156,0,0,"alpha","no",753,2,-8814.11139123436,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,0,1
101,"minus","easy",0.00610372655487871,7.37193451853174,1.9207475564932,1.27127755480684,1.00000462133746,"alpha","both",753,4,-8800.86326074593,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,0,1
101,"minus","easy",0.00610372655462617,7.37195047601277,1.92070434571393,1.27127755480684,0,"alpha","alpha",753,3,-8807.48732600488,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,0,1
101,"minus","hard",0.00610372655463305,7.37194378761505,1.9207047692338,0,1.00000462133746,"alpha","beta",753,3,-8807.48732600403,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,0,1
101,"minus","hard",0.00610372655461256,7.371946372306,1.9207148073156,0,0,"alpha","no",753,2,-8814.11139123436,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,0,1
101,"minus","hard",0.00610372655487871,7.37193451853174,1.9207475564932,1.27127755480684,1.00000462133746,"alpha","both",753,4,-8800.86326074593,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,0,1
101,"minus","hard",0.00610372655462617,7.37195047601277,1.92070434571393,1.27127755480684,0,"alpha","alpha",753,3,-8807.48732600488,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,0,1
101,"minus","medium",0.00610372655463305,7.37194378761505,1.9207047692338,0,1.00000462133746,"alpha","beta",753,3,-8807.48732600403,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,0,1
101,"minus","medium",0.00610372655487871,7.37193451853174,1.9207475564932,1.27127755480684,1.00000462133746,"alpha","both",753,4,-8800.86326074593,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,0,1
101,"minus","medium",0.00610372655462617,7.37195047601277,1.92070434571393,1.27127755480684,0,"alpha","alpha",753,3,-8807.48732600488,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,0,1
101,"minus","medium",0.00610372655461256,7.371946372306,1.9207148073156,0,0,"alpha","no",753,2,-8814.11139123436,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,0,1
101,"plus","easy",0.00610372655463305,7.37194378761505,1.9207047692338,0,1.00000462133746,"alpha","beta",753,3,-8807.48732600403,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,0,1
101,"plus","easy",0.00610372655487871,7.37193451853174,1.9207475564932,1.27127755480684,1.00000462133746,"alpha","both",753,4,-8800.86326074593,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,0,1
101,"plus","easy",0.00610372655461256,7.371946372306,1.9207148073156,0,0,"alpha","no",753,2,-8814.11139123436,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,0,1
101,"plus","easy",0.00610372655462617,7.37195047601277,1.92070434571393,1.27127755480684,0,"alpha","alpha",753,3,-8807.48732600488,0.0729855975085697,0.172030290943066,0.374580890330205,0.00157465339135369,0,1
101,"plus","hard",0.00610372655462617,7.37195047601277,1.92070434571393,1.27127755480684,0,"alpha","alpha",753,3,-8807.48732600488,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,0,1
101,"plus","hard",0.00610372655463305,7.37194378761505,1.9207047692338,0,1.00000462133746,"alpha","beta",753,3,-8807.48732600403,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,0,1
101,"plus","hard",0.00610372655487871,7.37193451853174,1.9207475564932,1.27127755480684,1.00000462133746,"alpha","both",753,4,-8800.86326074593,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,0,1
101,"plus","hard",0.00610372655461256,7.371946372306,1.9207148073156,0,0,"alpha","no",753,2,-8814.11139123436,0.0729855975085697,0.0729272537269987,0.374580890330205,0.00157465339135369,0,1
101,"plus","medium",0.00610372655461256,7.371946372306,1.9207148073156,0,0,"alpha","no",753,2,-8814.11139123436,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,0,1
101,"plus","medium",0.00610372655463305,7.37194378761505,1.9207047692338,0,1.00000462133746,"alpha","beta",753,3,-8807.48732600403,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,0,1
