"cost_ldc","a0","b0","eta_a","eta_b","bound","drift","ter","cost_ddm","sub","difflevel","manip","model","z","vratio"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"106","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"107","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"108","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"109","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"110","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","medium",NA,"both",NA,NA
